Symbol,Description,Entrez ID,Chromosome,logFC,AveExpr,P,P (adj.),,,,,,,,,,,
RSPH3,radial spoke 3 homolog (Chlamydomonas),83861,6,-0.2103,3.841,0.0003828,0.002947,,,,,,,,,,,
ANO6,anoctamin 6,196527,12,-0.2258,8.43,0.0003805,0.00293,,,,,,,,,,,
HERC2P9,hect domain and RLD 2 pseudogene 9,440248,15,-0.2269,1.474,0.000379,0.00292,,,,,,,,,,,
NA,NA,NA,NA,-0.2252,5.604,0.0003788,0.00292,,,,,,,,,,,
CEP290,centrosomal protein 290kDa,80184,12,-0.2105,5.778,0.0003783,0.002917,,,,,,,,,,,
RDH13,retinol dehydrogenase 13 (all-trans/9-cis),112724,19,-0.3449,3.558,0.0003772,0.002909,,,,,,,,,,,
LOC100287808,uncharacterized LOC100287808,100287808,17,-0.5244,-3.707,0.0003768,0.002907,,,,,,,,,,,
ARHGEF11,Rho guanine nucleotide exchange factor 11,9826,1,-0.1752,6.599,0.0003767,0.002907,,,,,,,,,,,
BTRC,beta-transducin repeat containing E3 ubiquitin protein ligase,8945,10,-0.145,4.942,0.0003761,0.002904,,,,,,,,,,,
CFHR3,complement factor H related 3,10878,1,-0.709,1.151,0.0003759,0.002903,,,,,,,,,,,
CMTM4,CKLF like MARVEL transmembrane domain containing 4,146223,16,-0.2972,3.29,0.0003754,0.002901,,,,,,,,,,,
ZNF767P,"zinc finger family member 767, pseudogene",79970,7,-0.2201,3.481,0.0003753,0.0029,,,,,,,,,,,
TNK1,"tyrosine kinase, non-receptor, 1",8711,17,-0.3249,2.141,0.0003675,0.002846,,,,,,,,,,,
FAM234A,family with sequence similarity 234 member A,83986,16,-0.1685,4.593,0.0003672,0.002846,,,,,,,,,,,
KCTD11,potassium channel tetramerization domain containing 11,147040,17,-0.3593,1.58,0.0003635,0.002822,,,,,,,,,,,
SULT2A1,sulfotransferase family 2A member 1,6822,19,-1.537,-1.673,0.0003633,0.002821,,,,,,,,,,,
MARCKS,myristoylated alanine rich protein kinase C substrate,4082,6,-0.275,3.995,0.0003604,0.002799,,,,,,,,,,,
CLEC14A,C-type lectin domain family 14 member A,161198,14,-0.3205,1.918,0.0003598,0.002795,,,,,,,,,,,
MSX2,msh homeobox 2,4488,5,-0.6837,2.7,0.0003591,0.002792,,,,,,,,,,,
NBR2,neighbor of BRCA1 gene 2 (non-protein coding),10230,17,-0.2754,1.986,0.0003588,0.00279,,,,,,,,,,,
MIR22HG,MIR22 host gene,84981,17,-0.3502,-0.4451,0.000357,0.002778,,,,,,,,,,,
ING5,inhibitor of growth family member 5,84289,2,-0.194,3.368,0.000357,0.002778,,,,,,,,,,,
NDUFA10,NADH:ubiquinone oxidoreductase subunit A10,4705,2,-0.1642,6.428,0.0003568,0.002778,,,,,,,,,,,
CRACR2B,calcium release activated channel regulator 2B,283229,11,-0.6016,0.4061,0.000355,0.002768,,,,,,,,,,,
TGOLN2,trans-golgi network protein 2,10618,2,-0.1611,8.421,0.0003547,0.002767,,,,,,,,,,,
B3GNT8,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 8",374907,19,-0.4312,0.8274,0.0003543,0.002767,,,,,,,,,,,
LAMC1,laminin subunit gamma 1,3915,1,-0.2588,8.426,0.0003541,0.002766,,,,,,,,,,,
FIG4,FIG4 phosphoinositide 5-phosphatase,9896,6,-0.2142,6.543,0.0003523,0.002753,,,,,,,,,,,
SHPRH,SNF2 histone linker PHD RING helicase,257218,6,-0.1488,6.219,0.0003515,0.002747,,,,,,,,,,,
DOPEY1,dopey family member 1,23033,6,-0.1971,6.494,0.0003495,0.002735,,,,,,,,,,,
DGKQ,diacylglycerol kinase theta,1609,4,-0.2573,2.508,0.000349,0.002732,,,,,,,,,,,
PHLDA3,pleckstrin homology like domain family A member 3,23612,1,-0.4258,0.3614,0.0003476,0.002723,,,,,,,,,,,
PCED1A,PC-esterase domain containing 1A,64773,20,-0.246,5.528,0.0003472,0.00272,,,,,,,,,,,
ZHX3,zinc fingers and homeoboxes 3,23051,20,-0.212,3.943,0.0003471,0.00272,,,,,,,,,,,
C16orf13,chromosome 16 open reading frame 13,84326,16,-0.1929,1.281,0.0003464,0.002716,,,,,,,,,,,
RAMP2-AS1,RAMP2 antisense RNA 1,100190938,17,-0.5401,-2.737,0.0003458,0.002712,,,,,,,,,,,
RECQL5,RecQ like helicase 5,9400,17,-0.1996,4.722,0.0003455,0.002711,,,,,,,,,,,
GET4,golgi to ER traffic protein 4,51608,7,-0.2282,3.319,0.000345,0.002708,,,,,,,,,,,
GORASP1,golgi reassembly stacking protein 1,64689,3,-0.2003,4.028,0.0003415,0.002682,,,,,,,,,,,
DENND4C,DENN domain containing 4C,55667,9,-0.2449,8.03,0.0003415,0.002682,,,,,,,,,,,
EIF4ENIF1,eukaryotic translation initiation factor 4E nuclear import factor 1,56478,22,-0.1258,5.542,0.0003368,0.002651,,,,,,,,,,,
DHX30,DEAH-box helicase 30,22907,3,-0.1528,5.655,0.0003359,0.002645,,,,,,,,,,,
HS6ST3,heparan sulfate 6-O-sulfotransferase 3,266722,13,-1.111,-1.689,0.0003355,0.002643,,,,,,,,,,,
ARIH1,ariadne RBR E3 ubiquitin protein ligase 1,25820,15,-0.1364,6.542,0.0003332,0.002626,,,,,,,,,,,
GCSHP3,glycine cleavage system protein H (aminomethyl carrier) pseudogene 3,100329109,2,-0.2495,3.424,0.0003323,0.00262,,,,,,,,,,,
PLEKHG6,pleckstrin homology and RhoGEF domain containing G6,55200,12,-0.5812,3.097,0.0003315,0.002615,,,,,,,,,,,
DKK4,dickkopf WNT signaling pathway inhibitor 4,27121,8,-1.009,-2.813,0.0003311,0.002614,,,,,,,,,,,
NPTN,neuroplastin,27020,15,-0.1715,5.06,0.0003309,0.002613,,,,,,,,,,,
NAPEPLD,N-acyl phosphatidylethanolamine phospholipase D,222236,7,-0.2308,3.681,0.0003304,0.00261,,,,,,,,,,,
COIL,coilin,8161,17,-0.1714,4.725,0.0003292,0.002602,,,,,,,,,,,
CTNNA1,catenin alpha 1,1495,5,-0.1698,8.667,0.0003288,0.002599,,,,,,,,,,,
PRICKLE4,prickle planar cell polarity protein 4,29964,6,-0.3635,1.21,0.0003285,0.002598,,,,,,,,,,,
ATXN7L1,ataxin 7 like 1,222255,7,-0.1841,4.698,0.0003273,0.002589,,,,,,,,,,,
TIA1,TIA1 cytotoxic granule-associated RNA binding protein,7072,2,-0.1459,6.388,0.0003251,0.002574,,,,,,,,,,,
NA,NA,NA,NA,-0.2078,1.441,0.0003242,0.002568,,,,,,,,,,,
EWSR1,EWS RNA binding protein 1,2130,22,-0.1235,7.604,0.0003237,0.002566,,,,,,,,,,,
TEAD3,TEA domain transcription factor 3,7005,6,-0.266,4.325,0.0003237,0.002566,,,,,,,,,,,
PTPRF,"protein tyrosine phosphatase, receptor type F",5792,1,-0.3464,8.676,0.0003218,0.002554,,,,,,,,,,,
STAP2,signal transducing adaptor family member 2,55620,19,-0.3619,4.825,0.0003208,0.002548,,,,,,,,,,,
NA,NA,NA,NA,-0.4507,1.235,0.0003192,0.002536,,,,,,,,,,,
MOB4,"MOB family member 4, phocein",25843,2,-0.2767,0.7915,0.0003181,0.002528,,,,,,,,,,,
DYNC1I1,dynein cytoplasmic 1 intermediate chain 1,1780,7,-0.5785,2.531,0.0003176,0.002525,,,,,,,,,,,
ZNF587,zinc finger protein 587,84914,19,-0.207,5.201,0.0003168,0.00252,,,,,,,,,,,
TMEM181,transmembrane protein 181,57583,6,-0.1935,6.15,0.0003126,0.002488,,,,,,,,,,,
SGSM3,small G protein signaling modulator 3,27352,22,-0.2111,4.966,0.0003122,0.002485,,,,,,,,,,,
ILVBL,ilvB (bacterial acetolactate synthase)-like,10994,19,-0.2682,4.325,0.0003121,0.002485,,,,,,,,,,,
CLDN34,claudin 34,100288814,X,-0.6976,-0.3065,0.000312,0.002485,,,,,,,,,,,
RNF123,ring finger protein 123,63891,3,-0.1611,6.052,0.0003116,0.002483,,,,,,,,,,,
SRCAP,Snf2-related CREBBP activator protein,10847,16,-0.1345,8.874,0.0003098,0.002471,,,,,,,,,,,
EOGT,EGF domain-specific O-linked N-acetylglucosamine (GlcNAc) transferase,285203,3,-0.2462,5.029,0.0003068,0.00245,,,,,,,,,,,
CCNT2,cyclin T2,905,2,-0.2044,6.71,0.0003046,0.002433,,,,,,,,,,,
PLCH2,phospholipase C eta 2,9651,1,-0.7583,4.222,0.0003038,0.002428,,,,,,,,,,,
CAND1,cullin-associated and neddylation-dissociated 1,55832,12,-0.2238,7.829,0.000303,0.002422,,,,,,,,,,,
C2orf66,chromosome 2 open reading frame 66,401027,2,-0.6809,-2.714,0.0003016,0.002412,,,,,,,,,,,
GDF11,growth differentiation factor 11,10220,12,-0.2996,1.339,0.0002997,0.002399,,,,,,,,,,,
SLC9A3R2,SLC9A3 regulator 2,9351,16,-0.2841,3.243,0.0002997,0.002399,,,,,,,,,,,
TNRC18,trinucleotide repeat containing 18,84629,7,-0.2057,6.536,0.0002994,0.002399,,,,,,,,,,,
ZNF880,zinc finger protein 880,400713,19,-0.3256,4.628,0.0002961,0.002373,,,,,,,,,,,
HOXB6,homeobox B6,3216,17,-0.6516,2.437,0.0002959,0.002373,,,,,,,,,,,
AFMID,arylformamidase,125061,17,-0.2152,3.545,0.0002912,0.002339,,,,,,,,,,,
TSPAN8,tetraspanin 8,7103,12,-1.119,0.5197,0.0002907,0.002336,,,,,,,,,,,
VEZF1,vascular endothelial zinc finger 1,7716,17,-0.1701,6.592,0.000288,0.002316,,,,,,,,,,,
PYCR2,pyrroline-5-carboxylate reductase family member 2,29920,1,-0.2046,4.103,0.0002879,0.002315,,,,,,,,,,,
LOC100129046,uncharacterized LOC100129046,100129046,1,-0.5402,-4.676,0.000287,0.002309,,,,,,,,,,,
CCAR2,cell cycle and apoptosis regulator 2,57805,8,-0.1972,6.713,0.000287,0.002309,,,,,,,,,,,
CASP9,caspase 9,842,1,-0.1899,3.536,0.000287,0.002309,,,,,,,,,,,
RNF41,ring finger protein 41,10193,12,-0.163,4.153,0.0002858,0.002302,,,,,,,,,,,
JPH4,junctophilin 4,84502,14,-0.6316,-2.266,0.0002847,0.002296,,,,,,,,,,,
ZNF343,zinc finger protein 343,79175,20,-0.1809,3.655,0.0002843,0.002294,,,,,,,,,,,
PTOV1,prostate tumor overexpressed 1,53635,19,-0.1855,6.03,0.0002842,0.002294,,,,,,,,,,,
NME4,NME/NM23 nucleoside diphosphate kinase 4,4833,16,-0.2471,2.686,0.000284,0.002294,,,,,,,,,,,
EXTL3,exostosin like glycosyltransferase 3,2137,8,-0.2377,6.047,0.0002831,0.002289,,,,,,,,,,,
INTS3,integrator complex subunit 3,65123,1,-0.1627,7.749,0.0002822,0.002282,,,,,,,,,,,
TMEM91,transmembrane protein 91,641649,19,-0.3763,1.786,0.0002808,0.002272,,,,,,,,,,,
FOXQ1,forkhead box Q1,94234,6,-0.787,1.929,0.0002804,0.002269,,,,,,,,,,,
CYP2C8,cytochrome P450 family 2 subfamily C member 8,1558,10,-0.7707,0.657,0.0002795,0.002264,,,,,,,,,,,
DIS3L,DIS3 like exosome 3'-5' exoribonuclease,115752,15,-0.1678,5.44,0.0002792,0.002262,,,,,,,,,,,
MAGI2,"membrane associated guanylate kinase, WW and PDZ domain containing 2",9863,7,-0.5319,2.279,0.0002782,0.002256,,,,,,,,,,,
POLG2,"polymerase (DNA) gamma 2, accessory subunit",11232,17,-0.1968,4.472,0.0002779,0.002254,,,,,,,,,,,
CUX1,cut like homeobox 1,1523,7,-0.1651,6.867,0.0002779,0.002254,,,,,,,,,,,
CCDC149,coiled-coil domain containing 149,91050,4,-0.2475,2.945,0.0002774,0.002252,,,,,,,,,,,
SUGT1P3,"SGT1 homolog, MIS12 kinetochore complex assembly cochaperone pseudogene 3",283507,13,-0.3066,-0.196,0.0002763,0.002245,,,,,,,,,,,
KBTBD7,kelch repeat and BTB domain containing 7,84078,13,-0.2337,3.854,0.0002761,0.002243,,,,,,,,,,,
PCDHB11,protocadherin beta 11,56125,5,-0.5297,4.15,0.0002748,0.002235,,,,,,,,,,,
RHOT2,ras homolog family member T2,89941,16,-0.1829,5.117,0.0002745,0.002234,,,,,,,,,,,
KCCAT333,renal clear cell carcinoma-associated transcript 333,102659288,7,-0.5762,-5.177,0.0002739,0.00223,,,,,,,,,,,
USP35,ubiquitin specific peptidase 35,57558,11,-0.2273,3.258,0.0002737,0.002229,,,,,,,,,,,
CTBP1,C-terminal binding protein 1,1487,4,-0.167,4.99,0.0002733,0.002226,,,,,,,,,,,
DDR1,discoidin domain receptor tyrosine kinase 1,780,6,-0.3277,6.987,0.0002719,0.002216,,,,,,,,,,,
NELFA,negative elongation factor complex member A,7469,4,-0.2247,3.179,0.0002716,0.002215,,,,,,,,,,,
MAP3K14-AS1,MAP3K14 antisense RNA 1,100133991,17,-0.3872,-0.8853,0.0002709,0.002212,,,,,,,,,,,
1-Mar,mitochondrial amidoxime reducing component 1,64757,1,-0.4544,3.248,0.0002706,0.00221,,,,,,,,,,,
CXXC4,CXXC finger protein 4,80319,4,-0.6362,-1.587,0.0002706,0.00221,,,,,,,,,,,
ABI2,abl-interactor 2,10152,2,-0.1732,4.377,0.0002697,0.002206,,,,,,,,,,,
GIPC3,GIPC PDZ domain containing family member 3,126326,19,-0.3633,0.2145,0.000269,0.002202,,,,,,,,,,,
SNRNP70,small nuclear ribonucleoprotein U1 subunit 70,6625,19,-0.1896,7.308,0.0002683,0.002197,,,,,,,,,,,
ZMYM2,zinc finger MYM-type containing 2,7750,13,-0.1786,8.277,0.0002683,0.002197,,,,,,,,,,,
MAGIX,"MAGI family member, X-linked",79917,X,-0.511,0.03293,0.0002682,0.002197,,,,,,,,,,,
AGO4,"argonaute 4, RISC catalytic component",192670,1,-0.1787,5.587,0.000268,0.002197,,,,,,,,,,,
FRRS1,ferric chelate reductase 1,391059,1,-0.4089,5.218,0.0002678,0.002195,,,,,,,,,,,
ARFGEF1,ADP ribosylation factor guanine nucleotide exchange factor 1,10565,8,-0.1825,8.153,0.0002677,0.002195,,,,,,,,,,,
ZNF586,zinc finger protein 586,54807,19,-0.2062,5.072,0.0002677,0.002195,,,,,,,,,,,
NR2F6,nuclear receptor subfamily 2 group F member 6,2063,19,-0.3332,3.316,0.0002675,0.002195,,,,,,,,,,,
TKFC,triokinase and FMN cyclase,26007,11,-0.247,3.207,0.0002673,0.002194,,,,,,,,,,,
GLTSCR2,glioma tumor suppressor candidate region gene 2,29997,19,-0.2375,6.479,0.0002663,0.002188,,,,,,,,,,,
ABLIM3,actin binding LIM protein family member 3,22885,5,-0.5219,4.897,0.0002661,0.002187,,,,,,,,,,,
ZNF502,zinc finger protein 502,91392,3,-0.4342,2.686,0.0002658,0.002185,,,,,,,,,,,
EXOC4,exocyst complex component 4,60412,7,-0.1384,7.486,0.0002648,0.002179,,,,,,,,,,,
TRIM45,tripartite motif containing 45,80263,1,-0.3461,2.891,0.0002643,0.002176,,,,,,,,,,,
C17orf82,chromosome 17 open reading frame 82,388407,17,-0.6078,-3.777,0.0002642,0.002176,,,,,,,,,,,
PACS2,phosphofurin acidic cluster sorting protein 2,23241,14,-0.1962,5.443,0.0002631,0.002167,,,,,,,,,,,
ORAI3,ORAI calcium release-activated calcium modulator 3,93129,16,-0.2621,2.677,0.0002624,0.002162,,,,,,,,,,,
PZP,pregnancy-zone protein,5858,12,-0.7845,-0.5462,0.0002623,0.002162,,,,,,,,,,,
DUOXA1,dual oxidase maturation factor 1,90527,15,-0.7515,3.619,0.0002622,0.002161,,,,,,,,,,,
NA,NA,NA,NA,-0.2218,1.043,0.0002618,0.00216,,,,,,,,,,,
PDE2A,phosphodiesterase 2A,5138,11,-0.3825,2.627,0.0002612,0.002155,,,,,,,,,,,
KHNYN,KH and NYN domain containing,23351,14,-0.182,5.505,0.0002604,0.002149,,,,,,,,,,,
PDXDC2P,"pyridoxal-dependent decarboxylase domain containing 2, pseudogene",283970,16,-0.2354,6.433,0.0002597,0.002144,,,,,,,,,,,
MAGED2,MAGE family member D2,10916,X,-0.2158,6.204,0.0002593,0.002142,,,,,,,,,,,
OS9,"osteosarcoma amplified 9, endoplasmic reticulum lectin",10956,12,-0.1859,8.205,0.0002593,0.002142,,,,,,,,,,,
ELP6,elongator acetyltransferase complex subunit 6,54859,3,-0.1699,2.942,0.0002592,0.002142,,,,,,,,,,,
PROM2,prominin 2,150696,2,-0.6352,6.255,0.0002567,0.002122,,,,,,,,,,,
CCDC142,coiled-coil domain containing 142,84865,2,-0.2355,2.624,0.0002566,0.002122,,,,,,,,,,,
SLC38A10,solute carrier family 38 member 10,124565,17,-0.1867,5.613,0.0002558,0.002117,,,,,,,,,,,
FXYD3,FXYD domain containing ion transport regulator 3,5349,19,-0.702,5.201,0.0002556,0.002117,,,,,,,,,,,
ACAA1,acetyl-CoA acyltransferase 1,30,3,-0.292,5.194,0.0002546,0.00211,,,,,,,,,,,
TCP11L2,"t-complex 11, testis-specific-like 2",255394,12,-0.2336,4.725,0.0002544,0.002108,,,,,,,,,,,
FDXR,ferredoxin reductase,2232,17,-0.3164,2.592,0.0002544,0.002108,,,,,,,,,,,
ANKMY1,ankyrin repeat and MYND domain containing 1,51281,2,-0.2299,4.151,0.000254,0.002107,,,,,,,,,,,
FAM13B,family with sequence similarity 13 member B,51306,5,-0.1846,6.476,0.0002537,0.002106,,,,,,,,,,,
LPCAT4,lysophosphatidylcholine acyltransferase 4,254531,15,-0.3306,5.001,0.0002532,0.002104,,,,,,,,,,,
AARSD1,alanyl-tRNA synthetase domain containing 1,80755,17,-0.3111,0.7969,0.0002528,0.002101,,,,,,,,,,,
AFF4,AF4/FMR2 family member 4,27125,5,-0.1332,7.925,0.0002511,0.00209,,,,,,,,,,,
CALCOCO1,calcium binding and coiled-coil domain 1,57658,12,-0.1852,5.218,0.000251,0.002089,,,,,,,,,,,
IKZF2,IKAROS family zinc finger 2,22807,2,-0.4777,5.336,0.0002506,0.002087,,,,,,,,,,,
MPZL2,myelin protein zero like 2,10205,11,-0.4797,5.999,0.0002503,0.002085,,,,,,,,,,,
RIC8B,RIC8 guanine nucleotide exchange factor B,55188,12,-0.1516,3.991,0.0002495,0.00208,,,,,,,,,,,
RPLP0,ribosomal protein lateral stalk subunit P0,6175,12,-0.2612,8.392,0.0002489,0.002075,,,,,,,,,,,
ZNF219,zinc finger protein 219,51222,14,-0.3141,2.533,0.0002484,0.002072,,,,,,,,,,,
NA,NA,NA,NA,-0.2976,0.1584,0.0002483,0.002072,,,,,,,,,,,
ZG16B,zymogen granule protein 16B,124220,16,-0.7342,0.3059,0.0002482,0.002072,,,,,,,,,,,
LOC100129484,uncharacterized LOC100129484,100129484,7,-0.4716,-2.489,0.0002478,0.002069,,,,,,,,,,,
TONSL-AS1,TONSL antisense RNA 1,100287098,8,-0.5123,-3.651,0.0002475,0.002068,,,,,,,,,,,
PPM1L,"protein phosphatase, Mg2+/Mn2+ dependent 1L",151742,3,-0.3728,2.673,0.0002453,0.002051,,,,,,,,,,,
SLC4A5,solute carrier family 4 member 5,57835,2,-0.3789,2.627,0.0002452,0.002051,,,,,,,,,,,
ST13,suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein),6767,22,-0.1562,5.12,0.0002446,0.002046,,,,,,,,,,,
SENP8,"SUMO/sentrin peptidase family member, NEDD8 specific",123228,15,-0.2815,0.8306,0.0002436,0.002039,,,,,,,,,,,
NA,NA,NA,NA,-0.4835,-2.939,0.0002419,0.002025,,,,,,,,,,,
UQCC1,ubiquinol-cytochrome c reductase complex assembly factor 1,55245,20,-0.1652,4.94,0.0002408,0.002017,,,,,,,,,,,
SLX4IP,SLX4 interacting protein,128710,20,-0.1891,3.716,0.0002387,0.002001,,,,,,,,,,,
BCS1L,"BCS1 homolog, ubiquinol-cytochrome c reductase complex chaperone",617,2,-0.1878,4.749,0.0002386,0.002001,,,,,,,,,,,
CTSH,cathepsin H,1512,15,-0.4362,6.945,0.0002371,0.001991,,,,,,,,,,,
SGPL1,sphingosine-1-phosphate lyase 1,8879,10,-0.2953,6.857,0.0002371,0.001991,,,,,,,,,,,
GJC3,gap junction protein gamma 3,349149,7,-0.7105,-2.195,0.000236,0.001983,,,,,,,,,,,
OXR1,oxidation resistance 1,55074,8,-0.2834,6.519,0.0002342,0.001969,,,,,,,,,,,
METAP1,methionyl aminopeptidase 1,23173,4,-0.2245,5.933,0.000234,0.001968,,,,,,,,,,,
ETNK2,ethanolamine kinase 2,55224,1,-0.4039,1.987,0.0002337,0.001967,,,,,,,,,,,
SH3BP1,SH3-domain binding protein 1,23616,22,-0.3572,5.904,0.0002336,0.001967,,,,,,,,,,,
NAA60,"N(alpha)-acetyltransferase 60, NatF catalytic subunit",79903,16,-0.138,4.351,0.0002333,0.001965,,,,,,,,,,,
ZNF823,zinc finger protein 823,55552,19,-0.3492,5.08,0.0002306,0.001944,,,,,,,,,,,
ZNF334,zinc finger protein 334,55713,20,-0.6724,2.744,0.0002303,0.001942,,,,,,,,,,,
LRBA,LPS responsive beige-like anchor protein,987,4,-0.201,8.803,0.0002303,0.001942,,,,,,,,,,,
BEND5,BEN domain containing 5,79656,1,-0.5196,1.407,0.0002287,0.00193,,,,,,,,,,,
CLHC1,clathrin heavy chain linker domain containing 1,130162,2,-0.2862,3.169,0.0002279,0.001924,,,,,,,,,,,
HOXD4,homeobox D4,3233,2,-0.4934,2.034,0.0002269,0.001916,,,,,,,,,,,
ZFYVE9,zinc finger FYVE-type containing 9,9372,1,-0.2963,6.498,0.0002269,0.001916,,,,,,,,,,,
FAM188B,family with sequence similarity 188 member B,84182,7,-0.2946,0.9031,0.0002261,0.00191,,,,,,,,,,,
SLC16A5,solute carrier family 16 member 5,9121,17,-0.5487,3.951,0.0002254,0.001905,,,,,,,,,,,
AGMO,alkylglycerol monooxygenase,392636,7,-0.9605,0.0843,0.0002238,0.001893,,,,,,,,,,,
NA,NA,NA,NA,-0.5279,-4.365,0.0002233,0.00189,,,,,,,,,,,
ACTRT1,actin-related protein T1,139741,X,-0.6919,-4.773,0.0002231,0.001889,,,,,,,,,,,
ANKRD20A11P,"ankyrin repeat domain 20 family member A11, pseudogene",391267,21,-0.9658,0.5813,0.0002221,0.001882,,,,,,,,,,,
DLX5,distal-less homeobox 5,1749,7,-0.6629,0.4023,0.0002218,0.00188,,,,,,,,,,,
IDH1,isocitrate dehydrogenase 1 (NADP+),3417,2,-0.4351,7.52,0.0002215,0.001878,,,,,,,,,,,
DLEC1,deleted in lung and esophageal cancer 1,9940,3,-0.42,1.507,0.0002215,0.001878,,,,,,,,,,,
CAPNS2,calpain small subunit 2,84290,16,-0.8693,1.79,0.0002199,0.001867,,,,,,,,,,,
LOC146880,Rho GTPase activating protein 27 pseudogene,146880,17,-0.2705,5.793,0.0002197,0.001865,,,,,,,,,,,
RPS6,ribosomal protein S6,6194,9,-0.2922,9.5,0.0002188,0.001858,,,,,,,,,,,
NA,NA,NA,NA,-0.453,-0.9403,0.0002188,0.001858,,,,,,,,,,,
FZD5,frizzled class receptor 5,7855,2,-0.4417,2.005,0.0002182,0.001854,,,,,,,,,,,
MGMT,O-6-methylguanine-DNA methyltransferase,4255,10,-0.2721,2.651,0.0002181,0.001854,,,,,,,,,,,
SPAG17,sperm associated antigen 17,200162,1,-0.7381,3.672,0.0002172,0.001848,,,,,,,,,,,
CTPS2,CTP synthase 2,56474,X,-0.1981,5.386,0.0002172,0.001848,,,,,,,,,,,
NDNF,neuron-derived neurotrophic factor,79625,4,-0.7843,1.775,0.0002169,0.001847,,,,,,,,,,,
LOC101929147,uncharacterized LOC101929147,101929147,1,-0.3284,-1.647,0.0002166,0.001845,,,,,,,,,,,
HOXB8,homeobox B8,3218,17,-0.9224,-0.5387,0.0002165,0.001844,,,,,,,,,,,
KIAA0430,KIAA0430,9665,16,-0.1416,7.2,0.0002145,0.001829,,,,,,,,,,,
ACAD10,acyl-CoA dehydrogenase family member 10,80724,12,-0.1842,5.173,0.0002134,0.00182,,,,,,,,,,,
ZNF480,zinc finger protein 480,147657,19,-0.2165,5.07,0.0002134,0.00182,,,,,,,,,,,
KRTCAP3,keratinocyte associated protein 3,200634,2,-0.5518,3.98,0.0002133,0.00182,,,,,,,,,,,
SLC22A13,solute carrier family 22 member 13,9390,3,-0.4662,-0.8644,0.0002132,0.00182,,,,,,,,,,,
ATXN7L3B,ataxin 7 like 3B,552889,12,-0.1874,4.242,0.0002119,0.001811,,,,,,,,,,,
FOLH1,folate hydrolase (prostate-specific membrane antigen) 1,2346,11,-0.4758,1.04,0.0002117,0.001809,,,,,,,,,,,
C15orf52,chromosome 15 open reading frame 52,388115,15,-0.5493,1.968,0.0002116,0.001809,,,,,,,,,,,
C1orf87,chromosome 1 open reading frame 87,127795,1,-0.8694,-4.555,0.0002111,0.001806,,,,,,,,,,,
ZNF19,zinc finger protein 19,7567,16,-0.2324,1.727,0.000211,0.001806,,,,,,,,,,,
CRYGS,crystallin gamma S,1427,3,-0.3058,0.981,0.0002109,0.001805,,,,,,,,,,,
CYB5R2,cytochrome b5 reductase 2,51700,11,-0.3901,4.032,0.0002106,0.001803,,,,,,,,,,,
CCDC74A,coiled-coil domain containing 74A,90557,2,-0.4502,0.6252,0.0002101,0.0018,,,,,,,,,,,
HSPG2,heparan sulfate proteoglycan 2,3339,1,-0.3114,9.604,0.0002098,0.001798,,,,,,,,,,,
C19orf45,chromosome 19 open reading frame 45,374877,19,-0.7316,-2.323,0.0002086,0.001789,,,,,,,,,,,
MANBAL,mannosidase beta like,63905,20,-0.1848,2.994,0.0002083,0.001788,,,,,,,,,,,
PGF,placental growth factor,5228,14,-0.5278,0.6061,0.0002076,0.001783,,,,,,,,,,,
PCF11,PCF11 cleavage and polyadenylation factor subunit,51585,11,-0.1755,7.174,0.0002064,0.001773,,,,,,,,,,,
ZNF44,zinc finger protein 44,51710,19,-0.246,5.482,0.0002051,0.001763,,,,,,,,,,,
TCF12,transcription factor 12,6938,15,-0.1541,7.395,0.0002049,0.001762,,,,,,,,,,,
RXRB,retinoid X receptor beta,6257,6,-0.1579,4.364,0.0002048,0.001762,,,,,,,,,,,
ZNF653,zinc finger protein 653,115950,19,-0.2041,1.559,0.0002039,0.001755,,,,,,,,,,,
PGAP3,post-GPI attachment to proteins 3,93210,17,-0.3197,2.714,0.0002035,0.001753,,,,,,,,,,,
NR2F2,nuclear receptor subfamily 2 group F member 2,7026,15,-0.3753,6.582,0.0002035,0.001753,,,,,,,,,,,
TFF2,trefoil factor 2,7032,21,-1.213,-2.987,0.0002026,0.001746,,,,,,,,,,,
NA,NA,NA,NA,-0.3168,0.6364,0.0002018,0.00174,,,,,,,,,,,
ZXDC,ZXD family zinc finger C,79364,3,-0.1524,4.863,0.0002017,0.001739,,,,,,,,,,,
ZNF205,zinc finger protein 205,7755,16,-0.2311,1.53,0.0002002,0.001727,,,,,,,,,,,
TANC1,"tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 1",85461,2,-0.2075,7.162,0.0001995,0.001723,,,,,,,,,,,
CLK2,CDC like kinase 2,1196,1,-0.1877,6.408,0.0001994,0.001722,,,,,,,,,,,
BTBD2,BTB domain containing 2,55643,19,-0.1962,4.577,0.0001974,0.001707,,,,,,,,,,,
GPATCH2,G-patch domain containing 2,55105,1,-0.1651,4.95,0.0001969,0.001703,,,,,,,,,,,
ZNF197,zinc finger protein 197,10168,3,-0.1944,4.575,0.0001962,0.001698,,,,,,,,,,,
PLA2G2F,phospholipase A2 group IIF,64600,1,-1.337,2.333,0.000196,0.001696,,,,,,,,,,,
FAM78B,family with sequence similarity 78 member B,149297,1,-0.6912,-0.9186,0.0001939,0.001681,,,,,,,,,,,
